"permissionId", "declaringType","returnType","name","argTypes"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","disableCellBroadcastRangeForSubscriber","IIII"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","disableCellBroadcastRangeForSubscriber","IIII"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","disableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","disableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","disableCellBroadcastRangeForSubscriber","IIII"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","disableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","disableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","disableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","disableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","disableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","disableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","disableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","disableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","disableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","disableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","disableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","disableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","enableCdmaBroadcastRange","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","disableCdmaBroadcastRange","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler;","V","dispatchSmsDeliveryIntent","[[BLjava/lang/String;ILandroid/content/BroadcastReceiver;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/cdma/CdmaInboundSmsHandler;","V","dispatchSmsDeliveryIntent","[[BLjava/lang/String;ILandroid/content/BroadcastReceiver;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/gsm/GsmInboundSmsHandler;","V","dispatchSmsDeliveryIntent","[[BLjava/lang/String;ILandroid/content/BroadcastReceiver;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler;","Z","processMessagePart","Lcom/android/internal/telephony/InboundSmsTracker;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler$CarrierSmsFilterCallback;","V","onFilterComplete","Z"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/cdma/CdmaInboundSmsHandler;","Z","processMessagePart","Lcom/android/internal/telephony/InboundSmsTracker;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/gsm/GsmInboundSmsHandler;","Z","processMessagePart","Lcom/android/internal/telephony/InboundSmsTracker;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler$DeliveringState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Landroid/service/carrier/ICarrierMessagingCallback$Stub$Proxy;","V","onFilterComplete","Z"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler$CarrierSmsFilter;","V","filterSms","Ljava/lang/String;Lcom/android/internal/telephony/InboundSmsHandler$CarrierSmsFilterCallback;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler$CarrierSmsFilter;","V","onServiceReady","Landroid/service/carrier/ICarrierMessagingService;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/util/State;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/util/IState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/util/StateMachine$SmHandler;","Lcom/android/internal/util/State;","processMsg","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/SupplicantStateTracker$DisconnectedState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/SupplicantStateTracker$DormantState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/SupplicantStateTracker$InactiveState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/SupplicantStateTracker$ScanState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/SupplicantStateTracker$UninitializedState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/WifiController$FullHighPerfLockHeldState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/WifiController$FullLockHeldState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/WifiController$NoLockHeldState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/WifiController$ScanOnlyLockHeldState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/server/wifi/WifiWatchdogStateMachine$NotConnectedState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/InboundSmsHandler$SmsBroadcastReceiver;","V","onReceive","Landroid/content/Context;Landroid/content/Intent;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/cdma/CdmaServiceCategoryProgramHandler;","Z","handleServiceCategoryProgramData","Lcom/android/internal/telephony/cdma/SmsMessage;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/cdma/CdmaServiceCategoryProgramHandler;","Z","handleSmsMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/WakeLockStateMachine;","Z","handleSmsMessage","Landroid/os/Message;"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/WakeLockStateMachine$IdleState;","Z","processMessage","Landroid/os/Message;"
"android.permission.RESTART_PACKAGES", "Lcom/android/server/am/ActivityManagerService;","V","killBackgroundProcesses","Ljava/lang/String;I"
"android.permission.RESTART_PACKAGES", "Landroid/app/ActivityManagerNative;","V","killBackgroundProcesses","Ljava/lang/String;I"
"android.permission.RESTART_PACKAGES", "Landroid/app/ActivityManagerNative;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.RESTART_PACKAGES", "Landroid/app/IActivityManager;","V","killBackgroundProcesses","Ljava/lang/String;I"
"android.permission.RESTART_PACKAGES", "Lcom/android/server/am/ActivityManagerService;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.RESTART_PACKAGES", "Landroid/app/ActivityManager;","V","killBackgroundProcesses","Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/am/Am;","V","runKill",""
"android.permission.RESTART_PACKAGES", "Landroid/app/ActivityManager;","V","restartPackage","Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/am/Am;","V","onRun",""
"android.permission.RESTART_PACKAGES", "Lcom/android/internal/os/BaseCommand;","V","onRun",""
"android.permission.RESTART_PACKAGES", "Lcom/android/internal/os/BaseCommand;","V","run","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/am/Am;","V","run","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/appops/AppOpsCommand;","V","run","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/dpm/Dpm;","V","run","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/media/Media;","V","run","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/wm/Wm;","V","run","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/am/Am;","V","main","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/appops/AppOpsCommand;","V","main","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/dpm/Dpm;","V","main","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/media/Media;","V","main","[Ljava/lang/String;"
"android.permission.RESTART_PACKAGES", "Lcom/android/commands/wm/Wm;","V","main","[Ljava/lang/String;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","Z","checkAudioSettingsPermission","Ljava/lang/String;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","setBluetoothScoOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","setMicrophoneMute","ZLjava/lang/String;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","setMode","ILandroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","setSpeakerphoneOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","startBluetoothScoInt","Landroid/os/IBinder;I"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","stopBluetoothSco","Landroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","setBluetoothScoOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","setBluetoothScoOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","setMicrophoneMute","ZLjava/lang/String;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","setMicrophoneMute","ZLjava/lang/String;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","setMode","ILandroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","setMode","ILandroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","setSpeakerphoneOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","setSpeakerphoneOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","startBluetoothSco","Landroid/os/IBinder;I"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/AudioService;","V","startBluetoothScoVirtualCall","Landroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","stopBluetoothSco","Landroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","stopBluetoothSco","Landroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","Z","onTransact","ILandroid/os/Parcel;Landroid/os/Parcel;I"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService;","V","setBluetoothScoOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService;","V","setMicrophoneMute","ZLjava/lang/String;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService;","V","setMode","ILandroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService;","V","setSpeakerphoneOn","Z"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","startBluetoothSco","Landroid/os/IBinder;I"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","startBluetoothSco","Landroid/os/IBinder;I"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub$Proxy;","V","startBluetoothScoVirtualCall","Landroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService$Stub;","V","startBluetoothScoVirtualCall","Landroid/os/IBinder;"
"android.permission.MODIFY_AUDIO_SETTINGS", "Landroid/media/IAudioService;","V","stopBluetoothSco","Landroid/os/IBinder;"
